epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.7162,0.85521,2.66723,1.19739,0.00333,1,0.49688,0.46824,0.2935,2.97862,0.85895,6e-05,6e-05,6e-05
2,32.0749,0.71688,2.3841,1.14054,0.00333,1,0.98093,0.90175,0.37493,2.85493,0.83373,0.000137228,0.000137228,0.000137228
3,47.9627,0.59784,1.42584,1.01412,0.99667,1,0.995,0.90063,0.39068,2.36693,0.8488,0.000211288,0.000211288,0.000211288
4,64.911,0.60154,1.22684,1.0198,1,0.77376,0.995,0.91659,0.39176,2.53751,0.85364,0.00028218,0.00028218,0.00028218
5,80.6424,0.68018,1.20476,0.99232,0.99957,1,0.995,0.91809,0.38577,2.42465,0.85917,0.000349904,0.000349904,0.000349904
6,97.1691,0.56805,1.0451,1.03169,1,0.99035,0.995,0.93742,0.34518,2.25379,0.84056,0.00041446,0.00041446,0.00041446
7,112.331,0.56359,1.01446,0.98364,1,0.97585,0.995,0.92441,0.3709,2.11467,0.85629,0.000475848,0.000475848,0.000475848
8,128.117,0.53234,0.93645,0.9819,0.97964,0.96228,0.99422,0.90612,0.39751,2.17913,0.85908,0.000534068,0.000534068,0.000534068
9,143.147,0.66249,1.04623,1.02196,1,0.93017,0.99461,0.91591,0.39022,2.37472,0.85562,0.00058912,0.00058912,0.00058912
10,158.102,0.69827,1.01936,1.07851,0.98482,0.94,0.99382,0.90403,0.38684,2.22941,0.86405,0.000641004,0.000641004,0.000641004
11,172.969,0.65546,1.04453,1.12029,0.9941,1,0.995,0.90704,0.38928,1.65092,0.85077,0.00068972,0.00068972,0.00068972
12,188.425,0.55118,0.90139,0.96725,0.99639,1,0.995,0.9269,0.374,1.67274,0.84416,0.000735268,0.000735268,0.000735268
13,203.332,0.66648,1.01127,1.01426,0.9962,1,0.995,0.90489,0.4862,1.71264,0.89593,0.000777648,0.000777648,0.000777648
14,218.311,0.5781,1.38883,1.03496,0.99658,1,0.995,0.89975,0.42196,1.65661,0.87435,0.00081686,0.00081686,0.00081686
15,233.311,0.59429,0.88861,0.96828,1,0.99787,0.995,0.91546,0.40152,1.8475,0.85837,0.000852904,0.000852904,0.000852904
16,248.183,0.68751,0.90906,1.02534,0.99582,0.96,0.99308,0.92673,0.37127,1.80329,0.84357,0.00088578,0.00088578,0.00088578
17,263.443,0.55212,0.8409,0.9714,1,0.97862,0.99352,0.91824,0.39105,1.58606,0.85494,0.000915488,0.000915488,0.000915488
18,279.658,0.61629,0.81203,1.01236,0.99833,1,0.995,0.89935,0.4304,1.24045,0.869,0.000942028,0.000942028,0.000942028
19,295.572,0.60097,0.83951,1.01985,0.99605,1,0.995,0.91569,0.40466,1.27036,0.86094,0.0009654,0.0009654,0.0009654
20,313.629,0.59965,0.84728,1.00427,0.98888,0.92,0.98975,0.92412,0.37826,1.32573,0.84508,0.000985604,0.000985604,0.000985604
21,331.852,0.67613,0.82414,1.06994,1,0.99601,0.995,0.89391,0.45206,1.05742,0.90959,0.00100264,0.00100264,0.00100264
22,347.715,0.64958,0.79766,0.9592,1,0.9994,0.995,0.90692,0.4429,1.02911,0.89737,0.00101651,0.00101651,0.00101651
23,363.487,0.6401,0.77722,1.0265,1,0.99677,0.995,0.91638,0.42456,1.03288,0.87027,0.00102721,0.00102721,0.00102721
24,380.447,0.64383,0.80726,1.04919,0.99716,1,0.995,0.92749,0.39355,1.02625,0.84582,0.00103474,0.00103474,0.00103474
25,395.796,0.59096,0.7304,0.9864,0.99847,1,0.995,0.92512,0.39493,1.01353,0.84027,0.0010391,0.0010391,0.0010391
26,410.916,0.63156,0.85879,1.03093,0.99786,1,0.995,0.91463,0.3832,0.97582,0.83914,0.00101,0.00101,0.00101
27,426.203,0.51969,0.71459,0.97663,0.99744,1,0.995,0.93821,0.368,0.92456,0.8369,0.0009704,0.0009704,0.0009704
28,442.213,0.5832,0.76103,0.96758,0.9983,1,0.995,0.93002,0.36325,0.89857,0.83327,0.0009308,0.0009308,0.0009308
29,457.849,0.508,0.72816,0.98887,0.99499,1,0.995,0.92552,0.34794,0.86684,0.82938,0.0008912,0.0008912,0.0008912
30,473.306,0.62054,0.73475,1.03556,0.99635,1,0.995,0.94255,0.34289,0.8372,0.82144,0.0008516,0.0008516,0.0008516
31,488.968,0.5784,0.7582,0.96994,0.99641,1,0.995,0.93266,0.36243,0.82079,0.83079,0.000812,0.000812,0.000812
32,504.113,0.5543,0.71633,0.99502,0.99783,1,0.995,0.92665,0.37882,0.79842,0.83959,0.0007724,0.0007724,0.0007724
33,519.282,0.56784,0.74392,1.008,0.9988,1,0.995,0.9269,0.34996,0.78611,0.82841,0.0007328,0.0007328,0.0007328
34,534.349,0.48835,0.63072,0.95443,0.9984,1,0.995,0.94161,0.32001,0.77667,0.81743,0.0006932,0.0006932,0.0006932
35,549.629,0.59581,0.68283,0.98727,0.99844,1,0.995,0.94838,0.33364,0.77149,0.82327,0.0006536,0.0006536,0.0006536
36,564.707,0.49187,0.62904,0.96984,0.9988,1,0.995,0.94047,0.3322,0.7508,0.82442,0.000614,0.000614,0.000614
37,579.676,0.62185,0.70707,1.0929,0.99885,1,0.995,0.94106,0.32368,0.72809,0.81767,0.0005744,0.0005744,0.0005744
38,594.642,0.48188,0.58082,0.91209,0.9989,1,0.995,0.94224,0.32274,0.70349,0.81492,0.0005348,0.0005348,0.0005348
39,609.871,0.46719,0.61046,0.94525,0.99891,1,0.995,0.95021,0.32169,0.69875,0.81666,0.0004952,0.0004952,0.0004952
40,624.894,0.40239,0.63737,0.86305,0.99886,1,0.995,0.94678,0.31628,0.68698,0.81844,0.0004556,0.0004556,0.0004556
41,640.005,0.35489,0.7815,0.87524,0.99888,1,0.995,0.95558,0.28837,0.67002,0.80874,0.000416,0.000416,0.000416
42,654.983,0.32216,0.72773,0.83862,0.99889,1,0.995,0.96905,0.27401,0.67475,0.799,0.0003764,0.0003764,0.0003764
43,669.963,0.30101,0.73877,0.80312,0.99888,1,0.995,0.96356,0.28156,0.68618,0.80035,0.0003368,0.0003368,0.0003368
44,685.011,0.40343,0.79861,0.90385,0.99889,1,0.995,0.95667,0.28042,0.70075,0.79864,0.0002972,0.0002972,0.0002972
45,700.158,0.29691,0.70852,0.82145,0.99887,1,0.995,0.96603,0.27011,0.69207,0.79552,0.0002576,0.0002576,0.0002576
46,715.06,0.2885,0.72107,0.79886,0.99886,1,0.995,0.98015,0.26008,0.67287,0.79365,0.000218,0.000218,0.000218
47,730.234,0.3458,0.74617,0.80515,0.99888,1,0.995,0.97578,0.26342,0.66681,0.79488,0.0001784,0.0001784,0.0001784
48,745.591,0.31531,0.75173,0.82569,0.9989,1,0.995,0.9753,0.2622,0.6652,0.79493,0.0001388,0.0001388,0.0001388
49,760.59,0.31652,0.73934,0.80803,0.9989,1,0.995,0.97421,0.2555,0.65678,0.79315,9.92e-05,9.92e-05,9.92e-05
50,775.597,0.26785,0.6616,0.82271,0.99889,1,0.995,0.97408,0.25022,0.64574,0.79171,5.96e-05,5.96e-05,5.96e-05
